stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"98_1","1","Črnomerec",,45.815002,15.934932,,,0,98
"98_2","2","Črnomerec",,45.815398,15.933924,,,0,98
"98_11","11","Črnomerec",,45.815127,15.934536,,,0,98
"98",,"Črnomerec",,45.815175,15.934464,,,1,
"99_23","23","Črnomerec",,45.815318,15.933231,,,0,99
"99_26","26","Črnomerec",,45.814933,15.933877,,,0,99
"99_31","31","Črnomerec",,45.816087,15.933219,,,0,99
"99_32","32","Črnomerec",,45.816059,15.933327,,,0,99
"99_36","36","Črnomerec",,45.814943,15.934140,,,0,99
"99_42","42","Črnomerec",,45.815739,15.933910,,,0,99
"99_52","52","Črnomerec",,45.815800,15.934131,,,0,99
"99_62","62","Črnomerec",,45.815837,15.934329,,,0,99
"99_75","75","Črnomerec",,45.815703,15.933606,,,0,99
"99_82","82","Črnomerec",,45.814943,15.934140,,,0,99
"99_85","85","Črnomerec",,45.815799,15.933997,,,0,99
"99",,"Črnomerec",,45.815560,15.933810,,,1,
"100_1","1","Sveti Duh",,45.813211,15.943075,,,0,100
"100_2","2","Sveti Duh",,45.813639,15.941471,,,0,100
"100",,"Sveti Duh",,45.813425,15.942273,,,1,
"101_1","1","Mandaličina",,45.812427,15.948326,,,0,101
"101_2","2","Mandaličina",,45.812493,15.948860,,,0,101
"101",,"Mandaličina",,45.812460,15.948593,,,1,
"102_1","1","Slovenska",,45.812458,15.951965,,,0,102
"102_2","2","Slovenska",,45.812472,15.952514,,,0,102
"102",,"Slovenska",,45.812465,15.952239,,,1,
"103_1","1","Trg dr. F. Tuđmana",,45.813111,15.956823,,,0,103
"103_2","2","Trg dr. F. Tuđmana",,45.813169,15.957786,,,0,103
"103_3","3","Trg dr. F. Tuđmana",,45.812808,15.957457,,,0,103
"103",,"Trg dr. F. Tuđmana",,45.813029,15.957355,,,1,
"104_22","22","Britanski trg",,45.814285,15.964053,,,0,104
"104_23","23","Britanski trg",,45.813780,15.964362,,,0,104
"104_24","24","Britanski trg",,45.813808,15.964171,,,0,104
"104_28","28","Britanski trg",,45.813944,15.964018,,,0,104
"104",,"Britanski trg",,45.813954,15.964151,,,1,
"105_1","1","Frankopanska",,45.813254,15.969401,,,0,105
"105_2","2","Frankopanska",,45.813303,15.968628,,,0,105
"105_3","3","Frankopanska",,45.812499,15.969598,,,0,105
"105_4","4","Frankopanska",,45.812487,15.969483,,,0,105
"105",,"Frankopanska",,45.812886,15.969278,,,1,
"106_1","1","Trg J. Jelačića",,45.812858,15.977265,,,0,106
"106_2","2","Trg J. Jelačića",,45.813069,15.976531,,,0,106
"106",,"Trg J. Jelačića",,45.812963,15.976898,,,1,
"107_3","3","Zrinjevac",,45.809168,15.977826,,,0,107
"107_4","4","Zrinjevac",,45.808883,15.977743,,,0,107
"107",,"Zrinjevac",,45.809026,15.977785,,,1,
"109_1","1","Glavni kolodvor",,45.805213,15.979278,,,0,109
"109_2","2","Glavni kolodvor",,45.805235,15.978460,,,0,109
"109",,"Glavni kolodvor",,45.805224,15.978869,,,1,
"110_21","21","Glavni kolodvor",,45.803939,15.978579,,,0,110
"110_22","22","Glavni kolodvor",,45.803745,15.977791,,,0,110
"110_26","26","Glavni kolodvor",,45.803622,15.977789,,,0,110
"110_32","32","Glavni kolodvor",,45.803619,15.977369,,,0,110
"110_36","36","Glavni kolodvor",,45.803578,15.977422,,,0,110
"110_41","41","Glavni kolodvor",,45.803857,15.979041,,,0,110
"110_42","42","Glavni kolodvor",,45.803284,15.977098,,,0,110
"110_46","46","Glavni kolodvor",,45.803578,15.977422,,,0,110
"110_51","51","Glavni kolodvor",,45.803781,15.979205,,,0,110
"110_52","52","Glavni kolodvor",,45.802712,15.977034,,,0,110
